Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"3,093",45.4
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"2,193",32.2
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,379,5.6
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,"1,347",19.8
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,383,5.6
2023,March,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,173,2.5
2023,March,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,202,3.0
2023,March,D Public order and security offences,D30 Public nuisance offences,D33 Begging,30,0.4
2023,March,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,40,0.6
2023,March,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,"3,453",50.7
2023,March,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,15,0.2
2023,March,D Public order and security offences,D40 Public security offences,D41 Immigration offences,9,0.1
2023,March,D Public order and security offences,D40 Public security offences,D43 Hacking,625,9.2
2023,March,D Public order and security offences,D40 Public security offences,D44 Terrorism offences,31,0.5
2023,March,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,0.0
2023,March,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,102,1.5
2023,March,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,2,0.0
2023,March,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,"8,827",129.5
2023,March,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,586,8.6
2023,March,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,509,7.5
2023,March,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,"1,992",29.2
2023,March,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"53,806",789.5
2023,March,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"4,415",64.8
2023,March,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"16,065",235.7
2023,March,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,"1,488",21.8
2023,March,F Other offences,F10 Regulatory driving offences,F11 Drink driving,1,0.0
2023,March,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,9,0.1
2023,March,F Other offences,F20 Transport regulation offences,F21 Public transport,239,3.5
2023,March,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences,15,0.2
2023,March,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,134,2.0
2023,March,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,5,0.1
2023,March,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,60,0.9
2023,March,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences,24,0.4
2023,March,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences,11,0.2
2023,March,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,128,1.9
2023,March,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences,4,0.1
2023,March,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences,23,0.3
2023,March,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,64,0.9
2023,March,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,101,1.5
2023,March,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,256,3.8
2023,March,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,158,2.3
2023,March,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences,12,0.2
2023,March,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences,56,0.8
2022,March,A Crimes against the person,A10 Homicide and related offences,A11 Murder,49,0.7
2022,March,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,20,0.3
